ID,Severity,Category,Page,Feature,Title,Description,Steps to Reproduce,Expected,Actual,Recommended Fix,Status
"Q-01","High","Bug","Backend test infrastructure","pytest configuration","Backend test suite is not hermetic and loads the developers real .env","backend/config.py:13-16 pins env_file to an absolute repo-root path so Settings() reads the real .env at import time. conftest.py overrides get_db and current_user_id but never overrides settings. Three cost-cap tests assert hardcoded defaults and fail against the developers local caps. The same import pulls live DATABASE_URL, GEMINI_API_KEY, SUPABASE_SECRET_KEY and R2 credentials into every pytest process.","1. Have a repo-root .env with LLM_SOFT_CAP_USD=0.20 and LLM_HARD_CAP_USD=0.30; 2. From backend/ run python -m pytest -q; 3. Observe three failures at tests/test_cost_meter.py:21, tests/test_cost_meter.py:44 and tests/test_usage_route.py:22","Test outcomes depend only on the code under test and fixtures. No live credentials enter the test process.","Green in CI (no .env in the runner) but red on every configured developer machine. A permanently-red local suite trains developers to stop reading test output. Live production credentials are loaded into every test run; only the get_db override keeps writes on SQLite.","Read the env-file path from an env var defaulting to the current path and point it at a fixture .env.test in the pytest config. Separately assert against settings.llm_soft_cap_usd rather than the literal 2.0 in test_usage_route.py:22.","Open"
"B-05","Medium","Bug","Backend - chat pre-flight cap gate","Cost cap concurrency","Cost-cap read-check-spend window is unlocked (TOCTOU); the claimed FOR UPDATE covers session rows not the ledger","chat.py:137-143 is a plain SELECT with no row lock and no serialisable isolation. Re-verified independently: the only with_for_update calls in the repo are keyword_index.py:56 and profile_service.py:204, both on session rows. Nothing locks daily_cost_ledger on read. Also reported as G-08.","1. As a user at $0.95 against a $1.00 hard cap, fire 20 simultaneous POST /api/chat/stream (nothing rejects the burst, see B-07); 2. All 20 execute the SELECT before any reaches record_cost; 3. All read $0.95 and pass","At most one request crosses the boundary; the rest 429","All 20 proceed. The write is safe - record_cost uses INSERT ON CONFLICT DO UPDATE and loses no increment - so the ledger total is correct after the fact; the gate is simply consulted on stale data. Bounded: rate_limit is genuinely race-free so a user gets at most 50 turns/day, and tutor.py:173 re-reads the cap each iteration. Realistic overshoot is ~1.0-1.5x the hard cap per user per day.","Fold the check into the write - have record_cost return the pre-increment total and reject if already over cap. If instead using SELECT FOR UPDATE on the ledger row, keep it off the streaming path; the tutor.py:200-206 commit exists specifically to avoid holding a pooled connection across the stream.","Open"
"B-07","Medium","Security","Deploy topology","Rate limiting","No per-IP or burst rate limit on the Render deploy; the nginx throttle is compose-only","frontend/nginx.conf:1-5 defines limit_req_zone at 10r/s with burst 20 and its own comment states it applies to nginx-fronted deploys only, because the Render backend has no nginx tier. Production is a Vercel SPA talking directly to the Render service; backend/Dockerfile runs uvicorn only.","1. Deploy per render.yaml and vercel.json; 2. With a single valid JWT issue all 50 daily-slot requests simultaneously; 3. Nothing throttles by IP, by user-per-second, or by concurrency","A burst/velocity limit independent of the daily quota so per-day budgets cannot be consumed in one instant","Only the daily counter applies. The frontend even 429-handles a non-JSON nginx body, so this limiter is treated as part of the design - it just is not present on the deployed path. This is the enabling condition for B-05s concurrent-burst TOCTOU and for launching B-02s 40 simultaneous ingestions in one second.","Add a velocity limit that works on Render - Cloudflare or Render-edge rules in front of the service, or an in-app per-user concurrency gate backed by the same usage_counters table (a shared store, so it survives multi-instance). An in-process limiter would not and should not be used.","Fixed (2026-09-02, services/velocity_limit.py). Accepted as in-process, contrary to the recommendation above: deploy is one Render instance / one uvicorn worker, same single-process assumption as the ingest loop and entrypoint alembic. Move to a shared store before scaling out; see docs/deploy/RUNBOOK.md."
"C-03","Medium","Security","All JSON endpoints","Request body size","No request-body size limit in the backend itself","main.py:38-47 adds only CORSMiddleware; there is no body-size middleware. The only size guard in the codebase is upload-specific (upload.py:30 plus the streamed _read_bounded at :45-59). JSON endpoints rely purely on Pydantic field limits.","1. POST /api/chat/stream with Content-Type application/json and a 10 MB body such as {session_id: x, message: <10 MB of a>}; 2. Starlette buffers the entire body into memory before FastAPI hands it to Pydantic; 3. Pydantic rejects it on max_length 4000","The request is refused on size before the body is fully buffered","10 MB is allocated per concurrent request then discarded with a 422. On Render there is no nginx tier to absorb it, so N parallel 10 MB posts allocate N x 10 MB on a 512 MB dyno. Rate limiting happens after body parse, so this is a memory-exhaustion DoS at low request volume on an authenticated but otherwise free endpoint.","Add an ASGI middleware rejecting Content-Length above a small JSON ceiling (e.g. 256 KB) for non-multipart routes, and aborting the stream when the running byte count exceeds it - Content-Length is client-controlled, the same reasoning already written down at upload.py:46-48.","Open"
"C-07","Medium","Bug","Reference-file upload","Ended-session guard","Upload is accepted against an ended session; every other session-mutating route rejects it","upload.py:99-101 checks ownership but has no ended_at check. Every sibling write path has one: chat.py:171-172, sessions.py:615-616, :641-642, :682-683, all returning 409 session_ended.","1. POST /api/sessions/{id}/end so the session gets ended_at; 2. POST /api/upload with that session_id and a 20 MB PDF; 3. Returns 202, a daily slot is consumed, the blob is written to R2 and ingestion embeds and bills every chunk","409 session_ended before the rate-limit increment and before any embedding spend, matching the guard order documented at upload.py:103-106","Full paid ingestion into a session that can never be chatted with - /chat/stream will 409 on it so the chunks are unreachable. Real embedding spend with zero possible user value plus a wasted daily slot, reachable by a stale browser tab replaying a queued upload after the session was ended in another tab.","Insert the same ended_at check immediately after the ownership check, before the rate-limit increment, and document 409 for /api/upload in openapi.yaml.","Open"
"C-08","Medium","Bug","Reference-file upload","Idempotency","Double-submitted upload duplicates the document, its chunks and its embedding cost","upload.py:136-139 creates a Document with no idempotency key and no content hash. Document.__table_args__ is absent entirely; the table has only the session_id index. Object keys are doc_id-prefixed so the two blobs do not even collide in storage.","1. Double-click the upload button, or let a flaky network retry the same multipart body; 2. Two Document rows are created and two ingestion tasks fire; 3. Both embed the identical chunk set","The second submit is recognized as a duplicate - 409, or the first documents id returned","2x embedding spend, 2 rate-limit slots and a doubled corpus. Retrieval quality degrades measurably: query_chunks has LIMIT k (default 5) and the duplicate pair sits at identical cosine distance, so a k=5 retrieval can return 5 slots covering only ~2-3 distinct passages. The reference-files panel also shows the file twice.","Compute a SHA-256 of the uploaded bytes, store it on documents, and add a unique index on (session_id, content_sha256); on conflict return the existing rows 202 payload. Cheaper stopgap: a unique index on (session_id, filename) for non-failed rows.","Open"
"C-09","Medium","Bug","Session create + rename","Topic validation","Empty / whitespace-only topic is accepted on create and on rename","openapi.yaml:1173 and :1187 declare topic as string maxLength 200 with no minLength, and sessions.py:190 and :582 call .strip() without a post-strip guard. Compare add_mastered/add_gap which have minLength 1 in the spec AND a service-layer re-check after stripping at profile_service.py:265-272.","1. POST /api/sessions with {topic:    , seed_mode: fresh} - returns 201 with topic persisted as empty; 2. Or PATCH /api/sessions/{id} on a working session with a whitespace-only or zero-width-space topic - returns 200","422 on a topic that is empty after strip()","Persisted. Sidebar and library cards render a blank title. The duplicate-topic machinery now keys on empty string: the partial unique index means a second blank-topic create returns 409 duplicate_topic with a session id the user cannot identify, and _active_session_on_topic matches unrelated blank sessions. Since /sessions/lookup returns early on an empty normalized topic, these sessions can never be found again. Rename loss is unrecoverable.","Add minLength 1 to both topic schemas in openapi.yaml, regenerate contracts, AND add the post-strip guard in create_session and update_session - the spec constraint alone does not catch whitespace, which is exactly why profile_service carries both layers.","Open"
"C-10","Medium","Bug","Chat","Message validation","Empty / whitespace-only message fires a full paid LLM turn","openapi.yaml:1163 declares message with maxLength 4000 and no minLength. _prepare_turn never inspects req.message for content, and ChatMessage.content is nullable=False but empty string satisfies that.","1. POST /api/chat/stream with {session_id: <owned>, message: }; 2. Rate-limit slot consumed at chat.py:191, empty user row persisted at :283-285; 3. Full system prompt built, LLM stream started, tokens billed","422 before the rate-limit increment","A billed, meaningless turn plus a permanent empty message in history. Transcript pollution that session_enrichment then works around - it scans up to 5 candidates looking for a non-blank preview, and that workaround exists because of this. A prior frontend-side empty-bubble fix exists, but the server-side hole is open so any non-browser client or FE regression reopens it.","minLength 1 in openapi.yaml, regenerate contracts, and add if not req.message.strip(): raise HTTPException(422, ...) as the first line of _prepare_turn, ahead of the cost and rate-limit gates.","Open"
"C-11","Medium","Security","Upload status / session ingestion banner","Error disclosure","Raw ingestion exception text is stored and served to the client","ingestion_service.py:261 sets doc.error = str(e)[:1000], surfaced at upload.py:193 and sessions.py:549. Upstream exceptions are not sanitized - ingestion_service.py:154 re-wraps the vendor error verbatim as RuntimeError(f'embedding api failed: {e}'). Note the contrast: the same module logs with exc_info=settings.env != prod to keep tracebacks out of prod logs, yet persists and returns the message unfiltered.","1. Induce an ingestion failure carrying infrastructure detail - a litellm APIConnectionError (bodies routinely include provider host and request URL), a psycopg OperationalError naming the Supabase pooler host, or a botocore EndpointConnectionError naming the R2 endpoint; 2. GET /api/upload/{document_id} or open the session; 3. The first 1000 characters are returned in error","A stable enumerated code such as INGEST_FAILED, UNSUPPORTED_FILE or EMBEDDING_UNAVAILABLE, with the full message only in server logs","Internal hostnames, endpoint URLs, dependency versions and stack-frame text can reach an authenticated client. A third distinct channel alongside G-04 (SSE payload) and the frontend display that commit a0cebfb already removed.","Store a coded reason on documents.error, keep str(e) in the log line only, and gate any verbose passthrough on settings.env != prod.","Open"
"C-12","Medium","Architecture","Live Postgres deploy","Migration locking","Three of the newest migrations take blocking locks with no autocommit / CONCURRENTLY escape","alembic/env.py:46-47 wraps migrations in a single transaction, so none of these can use CONCURRENTLY. 0017 drops and rebuilds the HNSW index; 0021 creates two indexes on sessions; 0019 drops and re-adds a CHECK constraint on chat_messages. No lock_timeout is set anywhere.","1. Run alembic upgrade head against a live DB with meaningful data (200k chunk_embeddings, 500k chat_messages); 2. 0017 drops the vector index so search degrades to a seq scan, then builds HNSW holding SHARE on chunk_embeddings; 3. 0021 takes SHARE on sessions blocking every create/rename/end; 4. 0019 ADD CONSTRAINT CHECK takes ACCESS EXCLUSIVE on chat_messages and validates every row, blocking reads too","Index builds and constraint validation that do not block the running app, or a documented maintenance window","Unbounded write stall (and for 0019 a read stall) proportional to table size, with no lock_timeout, so a migration can queue behind a long-running query and then block everything behind itself. These have run clean so far only because the live tables are still small.","Forward-guidance, not a rollback - all three are already applied live. For future index migrations use with op.get_context().autocommit_block(): op.execute(CREATE INDEX CONCURRENTLY ...). For CHECK constraints use the two-step ADD CONSTRAINT NOT VALID then VALIDATE CONSTRAINT. Set SET lock_timeout = 5s at the top of any migration touching a hot table. Add this to the migration-review checklist the repo already enforces via a hook.","Open"
"C-13","Medium","Bug","API contract (paths, not schemas)","Status code documentation","Four handlers emit status codes the OpenAPI paths section does not document","CI enforces openapi.yaml to backend/contracts schema parity but nothing checks that a handlers reachable status codes are listed under its path. PATCH /api/sessions/{id} raises 409 duplicate_topic twice (sessions.py:577-581, :594-600) but documents only 200/400/404/401/503; POST /api/sessions raises 422 for a forbidden declared_level (sessions.py:141-145) but documents 400; POST /api/upload raises 404 (upload.py:99-101) but lists no 404; PATCH /api/me raises 422 empty patch (me.py:52-57) but documents 400.","1. Create two active sessions; 2. PATCH one to the others topic; 3. Observe a 409 that the spec does not list","Every reachable status code appears under its path in the spec","Client code generated from the spec will not handle these paths; the frontend already works around it ad hoc. Note POST /api/sessions does document its 409 and reopen documents its own - the rename path was simply missed.","Document the four codes and add a CI check asserting that every HTTPException status reachable in a handler appears under its path in openapi.yaml.","Open"
"D-07","Medium","Accessibility","Settings, CheckQuestion, MarkdownContent","ARIA labelling","aria-label on name-prohibited roles is silently dropped at three sites","SettingsView.vue:170-173, CheckQuestion.vue:105-111 and MarkdownContent.vue:128-135 place aria-label on a div, a p and a kbd respectively. ARIA forbids naming these generic roles, so user agents drop the label entirely.","1. Inspect the accessibility tree for any of the three elements; 2. Observe no accessible name is exposed","The intended label is exposed to assistive technology","The label does not exist in the a11y tree at all. The authors intent is invisible and the code reads as though it is handled.","Use a real role that accepts a name, or move the text into visually-hidden content inside the element.","Open"
"D-08","Medium","Accessibility","/sessions","Landmarks","Nested main landmarks on /sessions","SessionsLibraryView renders a main element inside the app shells main, producing two nested main landmarks on the same document.","1. Navigate to /sessions; 2. Inspect landmarks, or use a screen readers jump-to-main command","Exactly one main landmark per document","Two main elements is a document-structure error; jump-to-main becomes ambiguous and landmark navigation is unreliable.","Change the inner element to a section or div, keeping the app shells main as the single landmark.","Open"
"D-09","Medium","Accessibility","SessionView composer","Live region","Composer char counter is an aria-live region firing on every keystroke","The character counter in Composer.vue is inside an aria-live region that updates on each input event.","1. Turn on a screen reader; 2. Focus the composer; 3. Type a sentence","The counter is announced at meaningful thresholds, or not at all","A number is announced after every single character typed, which makes the composer effectively unusable with a screen reader on.","Throttle announcements to thresholds - for example at 90% of the limit and at the limit - or remove the live region and rely on the visible counter plus an aria-describedby summary.","Open"
"D-10","Medium","Accessibility","Settings active tab, inline code, check-question eyebrow","Colour contrast","--color-accent-text on --color-accent-soft is 4.26:1 in light theme","Computed with the alpha layer composited: --color-accent-text #b5413a over --color-accent-soft over --color-background = 4.26:1, and over --color-surface = 4.26:1. Dark theme passes at 5.00-5.50:1.","1. Set light theme; 2. Open Settings and look at the active tab label, an inline code span, and the check-question eyebrow","At least 4.5:1 for normal-size text","4.26:1 - a marginal but real WCAG 1.4.3 failure in light theme only.","Darken --color-accent-text in the light theme, or lighten --color-accent-soft, until the composited pair clears 4.5:1. Verify against both --color-background and --color-surface.","Open"
"D-11","Medium","UX","Review page","Error state","Review page reports Nothing due right now when the API fails and is blank while loading","ReviewView.vue:28-31 renders the empty-state copy whenever the item list is empty, without distinguishing an error from a genuine empty queue. :59-61 and :70-75 show no loading state and suppress the error toast on this path.","1. Open /review; 2. Have GET /api/review/queue return 500; 3. Read the page","An error state distinct from the empty state, with a retry","The user is told their review queue is empty when the request actually failed. This is worse than showing an error - a user told there is nothing to review will not come back, and the toast is suppressed so there is no other signal.","Track loading and error separately from emptiness; render a distinct error branch with a Retry button and a skeleton or spinner while loading.","Open"
"D-12","Medium","UI","Gap picker dialog","Responsive layout","Gap-picker dialog has a fixed 24rem width and overflows the viewport at 320px","GapPickerDialog.vue:6 sets a fixed width of 24rem (384px) with no max-width constraint.","1. Set the viewport to 320px wide; 2. Open the gap picker; 3. Observe the dialog extends beyond the viewport","The dialog fits within the viewport at the narrowest supported width","The dialog overflows unrecoverably - the user cannot scroll horizontally to reach the off-screen controls inside a fixed-position dialog.","Use width: min(24rem, calc(100vw - 2rem)) or max-width: 100%, and verify at 320px.","Open"
"D-13","Medium","UI","SessionView transcript","Text overflow","No overflow-wrap; long URLs and wide markdown tables force horizontal scrolling","UserBubble.vue:45 and :68-69 and MarkdownContent.vue:142-149 set no overflow-wrap / word-break, and flex children lack min-width: 0. This is the classic flexbox overflow omission.","1. Paste a very long unbroken URL into the composer and send it; 2. Or have the tutor return a wide markdown table; 3. Observe the page scrolls horizontally","Long strings wrap and wide tables scroll inside their own container, never the page","The message bubble expands beyond its container and the whole transcript scrolls in two dimensions. Chat transcripts are exactly where users paste long URLs, so this is routinely reachable.","Add overflow-wrap: anywhere (or word-break: break-word) to message content, min-width: 0 on the flex children, and wrap tables and code blocks in an overflow-x: auto container.","Open"
"D-14","Medium","UI","SessionView composer","Responsive layout","Composer hints and the character counter vanish entirely below 600px, and 4000-char truncation is silent","Composer.vue:460-463 hides the hint strip and counter below 600px, while the counter and limit logic live at :34, :113 and :428. The server enforces max_length 4000.","1. Set the viewport below 600px; 2. Paste more than 4000 characters into the composer; 3. Send","The limit is communicated before the user hits it, at every viewport","The hint strip and counter are display:none, so a mobile user reaches the server-side limit with no warning and no visible counter, and the truncation is silent.","Keep a compact counter visible at narrow widths (at minimum once the input passes ~80% of the limit) and surface an explicit message when content is truncated.","Open"
"D-15","Medium","Accessibility","Router / App shell","Focus management","Route-change focus reset silently no-ops when entering or leaving chrome-less routes","router/index.js:170-177 resets focus by targeting an element that exists only on routes rendering the app shell. App.vue:56,57,61,72 show login and onboarding render without it.","1. Navigate from a normal route to /login or /onboarding; 2. Press Tab","Focus moves to the top of the new view on every route change","The reset targets a missing element and silently does nothing, so focus stays wherever it was on the previous view. Keyboard and screen-reader users continue tabbing from a stale position on exactly the routes where orientation matters most.","Target a stable element that exists on every route (for example the router-view wrapper or a per-view h1), and assert the element was found rather than failing silently.","Open"
"D-16","Medium","Accessibility","Settings tab rail","ARIA relationships","Settings tabs point aria-controls at panels that do not exist","SettingsView.vue:21 and :38 set aria-controls to ids that are never rendered; the panel markup at :9-11 uses different ids or none.","1. Inspect the Settings tab buttons; 2. Resolve each aria-controls id against the document","aria-controls resolves to the panel the tab actually controls","The reference dangles. A broken aria-controls is worse than none: assistive technology follows the reference, finds nothing, and the tab/panel relationship is lost entirely.","Give each panel the id its tab references, or remove aria-controls and rely on the tablist/tabpanel roles with correct aria-selected.","Open"
"D-17","Medium","Accessibility","Composer, sidebar, row menu, settings","Touch targets","Interactive controls below 44x44px, shrinking further on mobile","Composer.vue:276-277 and :464-469 shrink composer buttons to 36px on mobile; Sidebar.vue:621 and :290-300, SidebarRowMenu.vue:156-157 and SettingsView.vue:150 are all under 44px.","1. Open the app on a phone-sized viewport; 2. Attempt to tap the send, attach, row-menu and settings controls","At least 44x44 CSS px for touch targets (WCAG 2.5.5 / 2.5.8)","Targets are 36px and smaller, and the composer controls shrink rather than grow on the viewport where touch is the only input method.","Set a min-height/min-width of 44px on interactive controls, using padding or a pseudo-element to extend the hit area without changing visual size.","Open"
"D-18","Medium","UI","App shell sidebar","Viewport units","Sidebar uses 100vh so the Settings link sits under mobile browser chrome","Sidebar.vue:531 and :537 use 100vh; the Settings link is the last item at :510-522 and :689-695. SessionView.vue:906-907 already uses 100dvh correctly, so this is a missed instance of a solved problem.","1. Open the app on a mobile browser with dynamic address-bar chrome; 2. Open the sidebar drawer; 3. Scroll to the bottom and try to tap Settings","The full sidebar including the last item is reachable within the visible viewport","100vh includes the area covered by browser chrome, so the Settings link is rendered underneath it and cannot be tapped. Settings is the only route to Sign out (compare E-09), so this hides the products only exit.","Change 100vh to 100dvh in Sidebar.vue, matching the treatment already used in SessionView.vue.","Open"
"D-19","Medium","Accessibility","SessionView check question","Colour-only signalling","Check-question correctness is conveyed by border colour alone and those borders fail 3:1","CheckQuestion.vue:20-24 and :147-153 apply --signal-success or --signal-warning as a border to indicate correctness, with no icon or text marker at :128. Computed: #22c55e on white = 2.28:1; #ffb020 on white = 1.83:1.","1. Answer a check question; 2. View the result with a colour-vision simulator, or at low contrast","Correctness is conveyed by at least one non-colour channel, and any meaningful border clears 3:1","Fails WCAG 1.4.1 (use of colour) and 1.4.11 (non-text contrast) simultaneously: a colour-blind user gets no signal at all, and a low-vision user cannot see the border either.","Add an icon or text marker alongside the colour, and darken the two signal colours until they clear 3:1 against --color-surface when used as a meaningful border.","Open"
"D-20","Medium","Accessibility","SessionView composer","Non-text contrast","--color-border (1.21-1.45:1) is the composers only visual boundary","Composer.vue:197-199, :207 and :437 use --color-border / --color-border-strong as the inputs only boundary. base.css:99-100 and :143-144 define them. Computed: --color-border 1.21-1.45:1 in both themes; --color-border-strong 1.75-1.84:1; --color-accent as a border 2.61-2.80:1 in light.","1. Open any session; 2. Look at the composer boundary in either theme","At least 3:1 for a boundary that identifies a control (WCAG 1.4.11)","At 1.21-1.45:1 the inputs edge is effectively invisible, so the primary control of the application has no perceivable boundary.","Raise --color-border-strong to clear 3:1 against --color-surface in both themes and use it (not --color-border) for control boundaries; verify the focus treatment separately, since the accent ring already has a known contrast failure.","Open"
"E-02","Medium","Bug","SessionView / chat streaming","Error normalization","Mid-stream transport failure shows the raw browser error (Failed to fetch)","The asymmetry is the bug: chatStreamService.js:58-61 (header phase) normalizes a TypeError into an ApiError, but :91-105 (body phase) rethrows it raw at line 105. session.js:900 passes it to _setError, and lib/errors.js:20 returns err.message for any non-ApiError.","1. Open a session, send a message and wait until assistant tokens are visibly streaming; 2. Kill the network before the done event; 3. reader.read() inside parseSSEStream rejects with a TypeError","Cant reach the server. Check your connection and try again. - copy that already exists at errors.js:6 for status 0","friendlyError finds no .status property, falls through every numeric branch and hits line 20, so the raw browser string (Failed to fetch in Chromium) is written to store.error and rendered verbatim in the session error banner. An ordinary Wi-Fi blip produces developer-console text in the chat UI.","Mirror line 61 in the body-phase catch: throw e instanceof TypeError ? new ApiError(0, {detail: e.message}, path) : e. One line.","Open"
"E-03","Medium","Bug","SessionView / chat streaming","Partial answer retention","Streamed partial answer is discarded on transport failure even though the server keeps it","session.js:897-900 sets streamingMessage.value = null before _setError, throwing the partial away. The sibling SSE-error path at :771-784 deliberately keeps it, pushing it into messages with status partial or error. The server persists it too - tutor.py:540-561 writes the accumulated text with status cancelled on client disconnect.","1. Send a message and let ~200 words of the answer stream in; 2. Drop the network, or let the 60 s SSE idle timeout fire; 3. Read the transcript, then reload the page","The partial answer stays on screen marked interrupted - exactly what the SSE-error path already does","The half-written assistant bubble vanishes on failure, leaving only the users message and an error banner. After a reload the same partial reappears because the backend wrote it, so the transcript silently changes between two views of the same session. Both the loss and the resurrection are confusing.","In the catch, before clearing, apply the same rule as handleAbortError: if streamingMessage.value.content is non-empty, push it into messages with status error.","Open"
"E-04","Medium","UX","SessionView error banner","Error copy","SSE error events without a message render the raw backend error code as user copy","session.js:856 (identical at :640) does error.value = data.message || data.code. tutor.py:510 yields StreamEvent(error, {code: max_iters_reached}) with no message key; the cost-cap event at tutor.py:182-190 likewise carries no message. Only llm_failed supplies one. Also reported as B-06 for the cost-cap variant.","1. Ask a question that makes the tutor exhaust its tool-iteration budget; 2. The stream ends with data: {code: max_iters_reached}; 3. Read the red banner above the composer","Product copy such as: The tutor ran out of steps on that one - try narrowing the question.","The banner reads literally max_iters_reached. friendlyError returns non-ApiError strings unchanged at errors.js:21 so there is no second line of defence. The cost-cap variant is worse: it renders daily_cost_cap_reached in the banner at the same time as the correctly-worded CapBanners alert - two contradictory messages for one event.","Add a code-to-copy map next to mapCapError in lib/capErrors.js and use error.value = data.message || copyFor(data.code) || Something interrupted the tutor. Try again. Suppress the banner entirely when _applyCapError has already claimed the event.","Open"
"E-06","Medium","UX","SessionsLibraryView","Error surface","Sessions library dumps the raw API error envelope into the page alongside a clean toast","SessionsLibraryView.vue:74-79 assigns e?.message directly to the rendered error ref at :231-233. apiClient.js:15 builds ApiError.message as `API ${status} ${path}: ${JSON.stringify(body)}`. session.js:104 calls getSessionLibrary without {silent: true} so reportApiError also fires and App.vue:45-49 toasts friendly copy.","1. Click any sidebar View all N link to reach /sessions; 2. Backend returns 500 on GET /api/sessions/library","One message, in product English, with a Retry control","Two simultaneous surfaces that disagree in register: a friendly toast, and a page body rendering API 500 /sessions/library: {detail:{code:internal_error}}. There is no Retry - retryLoad at line 146 delegates to loadMore, which is wired only to the infinite-scroll sentinel and returns early when items is empty. The only control is Back to home.","error.value = friendlyError(e) plus a Retry button on the empty-state error branch. Note store.libraryError (session.js:88,106) is written but rendered nowhere in src/ - dead state to use or remove.","Open"
"E-07","Medium","Bug","SessionView / ReferenceStatusBanner","Ingestion polling","One failed ingestion poll permanently hides the reference list and its delete controls","ReferenceStatusBanner.vue:84-97 catches the poll error with a comment promising a retry on the next tick, but the scheduling line requires status.value === pending. After a first-poll failure status is still null so no timer is ever set. The whole banner is v-if=status at line 3.","1. Open a session that already has 3 indexed reference files; 2. The mount-time GET /api/sessions/:id/ingestion fails once - a transient 502, or the network is briefly down as the tab regains focus; 3. Stay on the session","Retry, or a visible couldnt load your files - retry affordance","Polling stops permanently and the banner does not render at all. The user has no indication their references exist, and the per-file delete buttons at lines 25-33 are unreachable - this is the only document-delete UI in the product. Only a session switch or a successful upload revives it.","Schedule the retry on failure too: track a failed flag and retry with backoff while status is null or pending; render a compact references unavailable - retry row when the first poll fails.","Open"
"E-08","Medium","Bug","ProfileView (session profile)","Profile editing","Profile items delete with no confirm, no undo, and a rapid second delete is silently swallowed","ProfileView.vue:286-333 _applyWrite has no in-flight guard and every write reads etag.value at call time. The chip remove button at :123-131 calls removeItem directly with no confirmation. The 412 handler at :56-58 sets conflict and reloads silently. The same race applies to both Add buttons (:143-151, :187-195) and the level pills (:31-41).","1. Open /session/:id/profile with 3+ mastered concepts; 2. Click the x on concept A, then within ~300 ms click the x on concept B; 3. Read the page","Both removed, or the second click blocked with a visible busy state - plus a confirm or undo for a destructive unrecoverable edit","Two defects. No confirmation and no undo, so one stray click permanently deletes a mastery record the tutor uses for adaptivity - while the document-delete flow DOES confirm, so the precedent exists and was not followed. And Bs DELETE carries As stale ETag, gets a 412, and the handler silently reloads showing Profile changed elsewhere - B is still present and the message blames a phantom other client.","Add a writing ref, disable all mutating controls while it is true, and chain writes so each uses the ETag returned by the previous one. Add a confirm or a 5-second undo toast to removeItem and removeSubtopic.","Open"
"E-10","Medium","UX","SettingsView / ProfileTab / UsageTab","Retry after failure","Settings Profile and Usage tabs cannot be retried after a failed load","Both tabs load only in onMounted (ProfileTab.vue:225-236, UsageTab.vue:25-34) with no retry control. SettingsView.vue:42-44 wraps the panel in KeepAlive, so switching tabs away and back re-activates the cached instance without re-mounting.","1. Open /settings/profile and have GET /api/profile/aggregate fail once; 2. Click the Usage tab, then Profile again; 3. Repeat with the Usage tab and GET /api/usage/summary","A Retry button, or at minimum a refetch when the tab is re-selected","The load never re-runs. The error state is sticky for the entire life of the page and only a full browser reload clears it. Usages copy (Usage data is unavailable right now.) states a fact and offers nothing; Profiles is a bare friendlyError paragraph with no control.","Add a Retry button bound to load(), and/or use onActivated alongside onMounted so a KeepAlive re-activation refetches when the previous attempt errored.","Open"
"E-11","Medium","Bug","SessionView composer / multi-tab","Cross-tab consistency","Session ended in another tab: the typed message is discarded without ever telling the user","session.js:888-895 handles the 409 session_ended gracefully - banner plus ended state - but returns rather than throws, so SessionView.vue:591-607 runs its success path, clears lastSentText and never restores draft (emptied at line 594 before the await). The optimistic user bubble is correctly popped at :880-887, which makes the loss total and invisible.","1. Open session X in tab A and tab B; 2. In tab A use the sidebar row menu and End session; 3. In tab B type a long message and press Enter","The composer keeps the text so the user can reopen the session and re-send it","The backend correctly 409s at chat.py:172. The message is gone with no warning. This is the one two-tab case the code explicitly anticipated, and it is the one that loses data.","Restore the draft in this arm before returning, or make the arm rethrow a typed error the view can catch. Same underlying gap as E-05 - one shared draft-preservation helper fixes both.","Open"
"E-12","Medium","UX","Sidebar row menu","Destructive confirmation","End session is destructive-adjacent and has no confirmation","SidebarRowMenu.vue:109-119 renders End session as a danger-styled item in a stacked menu with Rename and Pin, wired straight through SidebarSessionRow.vue:37-55 to session.js:325-372. The document-delete flow at ReferenceStatusBanner.vue:108-129 does use PrimeVue confirm.require with an explicit header and a danger accept class.","1. Open the row-actions menu on any active sidebar row (Rename / Pin / End session are stacked); 2. Click one row below the intended target","A confirm, matching the precedent already set for document delete","The session ends immediately: it moves to the Ended tab, becomes read-only, and the backend runs a summary LLM call (which is why apiClient.js:9-11 documents a 30 s budget specifically for end-session). It is the only danger-styled action in the app without a confirm. Recovery is possible via Resume topic but the summary spend is not refundable and the user must first find the Ended tab.","Route End through useConfirm with the same styling contract used for file delete.","Open"
